index	title	description	category
170	Five Nights At Freddy's Hits Blu-ray December 12th, Digital Next Week	Five Nights At Freddy's has been a smash success at the fall box office, and Universal and Blumhouse are rushing to make sure fans can enjoy the film at home for the holidays. The horror hit is set to release on digital rental services next Tuesday, November …	
171	Box Office Results: Hunger Games Prequel Rises to the Top as Marvels Sinks	There are plenty of pros and cons at the box office this week. We’ll start with the good news. The Hunger Games prequel, The Ballad of Songbirds & Snakes, opened with a decent but not spectacular $44 million, enough to propel the Francis Lawrence-directed pic…	
172	A Surprise 2023 Horror Hit Is Getting A Sequel	Lionsgate confirms that The Blackening 2 is happening after the microbudget horror became a surprising box office hit upon its 2023 release.	
173	A24 Confirms Cast For Halina Reijn’s Erotic Thriller ‘Babygirl’: Nicole Kidman, Antonio Banderas, Harris Dickinson, Sophie Wilde And Jean Reno Aboard	After a period of speculation prolonged by the double strike, A24 has officially confirmed the cast set for its erotic thriller Babygirl, marking a reteam with Bodies Bodies Bodies helmer Halina Reijn. Nicole Kidman (The Undoing), Antonio Banderas (Pain and G…	
174	Tiger 3 Day 8 Box Office Collection: Salman Khan’s Movie Records Dip, Earns $1.2 Million	Salman Khan’s latest action-packed movie, Tiger 3, faced a tough challenge on day 8 at the box office. The clash coincided with the intense cricket fever during the World Cup final between India and Australia on Sunday, November 19, 2023. As it was, the World…	
175	Steven Spielberg Predicts 'Implosion' of Film Industry (2013)	George Lucas echoed Spielberg's sentiments at an event touting the opening of a new USC School of Cinematic Arts building, saying big changes are in store.	
176	To Catch a Killer Streaming: Watch & Stream Online via Hulu	If you’re wondering where to stream To Catch a Killer online, then you have come to the right place as we have all the streaming details. Directed by Damian Szifron, the film tells the story of three cops, Eleanor, Jack Mackenzie, and an FBI Agent Lammark who…	
177	5 movies leaving Hulu in November you have to watch	Start making your viewing plans now so you can catch these five movies leaving Hulu at the end of November.	
178	Five Nights At Freddy’s Box Office Passes Big Horror Movie Milestone	Five Nights at Freddy's, which is adapted from the video game franchise of the same name, surpasses an important milestone at the global box office.	
179	Margot Robbie Reveals How She's Spending Her 'Barbie' Money, (& Her Husband Tom Ackerley Had an Idea)	Margot Robbie opened up about how she was spending her Barbie money after starring in and producing the biggest movie of the year. The 33-year-old actress took home a major payday thanks to her base salary and box office bonuses. How did she spend the money? …	
180	Five Nights at Freddy’s Movie Digital Release Date Revealed for US and UK	The Five Nights at Freddy’s movie digital release date has been revealed, and UK fans frustrated by a lack of at-home viewing options will not have to wait too long. Five Nights at Freddy’s Movie Digital Release Date Prime Video has the Five Nights at Freddy’…	
181	The Top 10 Must-Watch Thanksgiving Movies	From heartwarming family dramas to comedic tales, these films perfectly encapsulate the essence of Thanksgiving.	
182	‘The Hunger Games: The Ballad Of Songbirds & Snakes’ Devours $99M Global Opening; ‘Trolls Band Together’ Tops $100M WW – International Box Office	Refresh for latest…: Lionsgate’s The Hunger Games: The Ballad of Songbirds & Snakes very (very) narrowly missed the $100M mark globally in its opening weekend, but it’s as near as dammit with an estimated $98.5M through Sunday worldwide. The Francis Lawrence-…	
183	The OA’s success made Murder at the End of the World’s culprit clear to its creators	FX’s new show A Murder at the End of the World from The OA creators follows a lot of the same principles of their first show. So you might already know whodunnit	
184	Melissa Barrera reportedly fired from Scream VII over comments about Israel	Melissa Barrera, one of the new stars of the rebooted Scream franchise, has reportedly been dropped from the series over some posts she made on social media about what’s happening in the Israel-Palestine conflict. According to The Hollywood Reporter, she supp…	
185	Can Eddie Murphy's 'Beverly Hills Cop: Axel Foley' Be the 'Top Gun: Maverick' of Comedy?	Can '80s nostalgia supercharge another classic reboot?	
186	Jackie Chan and Ralph Macchio Returning for ‘Karate Kid’ Sequel	The actors also announced a global casting search for who will be the next Karate Kid in the Sony film set for December 2024.	
187	Watch: 'The Ballad of Maddog Quinn' Gritty Sci-Fi Western Short Film	"""Maddog strikes again!!"" This awesome new short film from New Zealand is absolutely worth a watch. The Ballad of Maddog Quinn is a gritty sci-fi western action short film made by Kiwi filmmaker Matt Inns, who writes & directs & produces. Set in a post-apocaly…"	
188	Creed 4 Is Happening, Michael B. Jordan Returning to Direct	"Creed III producer Irwin Winkler confirms that a fourth Creed movie is in the works with Michael B. Jordan returning to direct.
The post Creed 4 Is Happening, Michael B. Jordan Returning to Direct appeared first on ComingSoon.net - Movie Trailers, TV & Stream…"	
189	Review: 'Hunger Games: The Ballad of Songbirds & Snakes' feels rushed on its way to fascism	Directed by franchise vet Francis Lawrence, the Katniss-free prequel to the dystopian saga launches the back story of Coriolanus Snow, here played by Tom Blyth.	
190	Vengeance Streaming: Watch & Stream Online via Peacock	If you’re wondering where to stream the 2022 mystery thriller film Vengeance online, then you have come to the right place, as we have all the streaming details. Directed by B.J. Novak, the film follows the New York-based journalist Ben Manalowitz to West Tex…	
191	Smokin’ Aces Streaming: Watch & Stream Online via Amazon Prime Video	If you’re wondering where to watch Smokin’ Aces online, you have come to the right place, as we have all the streaming details. Directed by Joe Carnahan and P.J. Pesce, the film follows a group of assassins chasing a Las Vegas convict, Robert ‘Buddy Aces’ Isr…	
192	Sukhee Streaming: Watch & Stream Online via Netflix	If you’re wondering where to watch Sukhee online, you have come to the right place, as we have all the streaming details. Directed by Sonal Joshi, the film follows a Punjabi homemaker, Sukhpreet Kalra, aka ‘Sukhee’ whose travel to Delhi for a high school reun…	
193	Ghost Town Streaming: Watch & Stream Online via Amazon Prime Video	If you’re wondering where to stream Ghost Town (2008) online, then you have come to the right place, as we have all the streaming details. Directed by David Koepp, the film tells the story of a recluse dentist, Bertrum Pincus, who, in order to escape his abil…	
194	Waco Season 1 Streaming: Watch & Stream Online via Paramount Plus	Wondering where to watch Waco Season 1 online? You’ve come to the right place, as we’ve got all the streaming details right here. Waco is a TV miniseries based on the standoff between the FBI and ATF and the religious leader of Branch Davidians, David Koresh.…	
195	Planes, Trains and Automobiles Streaming: Watch & Stream Online via Paramount Plus	If you’re wondering where to stream the 1987 comedy film, Planes, Trains and Automobiles online, then you have come to the right place as we have all the streaming details. Directed by John Hughes, the film follows Neal Page, whose journey to attend Thanksgiv…	
196	The Grinch (2018) Streaming: Watch & Stream Online via Peacock	If you’re wondering where to stream the 2018 film The Grinch online, then you have come to the right place, as we have all the streaming details. Directed by Scott Mosier and Yarrow Cheney, the movie follows the recluse Grinch who, driven by his loneliness an…	
197	The Pianist Streaming: Watch & Stream Online via Amazon Prime Video	If you’re wondering where to stream The Pianist online, then you have come to the right place as we have all the streaming details. Directed by Roman Polanski, the film tells the story of a Polish Jew, Wladyslaw Szpilman who traverses through the ruins of War…	
198	Don’t Worry Darling Streaming: Watch & Stream Online via HBO Max	If you’re wondering where to watch Don’t Worry Darling online, you have come to the right place, as we have all the streaming details. Directed by Olivia Wilde, the film follows the story of Alice and Jack, whose life in the idyllic town of Victory, Californi…	
199	The Rocky Horror Picture Show (1975) Streaming: Watch & Stream Online via Hulu	If you’re wondering where to stream the 1975 musical horror film The Rocky Horror Picture Show online, then you have come to the right place, as we have all the streaming details. Directed by Jim Sharman, the film follows a young couple, Brad and Janet, who, …	
200	Can Apple's Napoleon Bring Ridley Scott And Joaquin Phoenix Box Office Glory?	Can Ridley Scott&amp;#39;s Napoleon conquer the box office when it opens over the Thanksgiving holiday? Or will it suffer an epic defeat?	
201	Can Wish Get Disney Animation Studios Back On Track At The Box Office?	Disney Animation hasn&amp;#39;t scored a theatrical hit since 2019, but its latest offering, Wish, is tracking well at the box office.	
202	“Maestro” Is a Leonard Bernstein Bio-Pic as Restless as Its Subject	Anthony Lane reviews “Maestro,” Bradley Cooper’s bio-pic about Leonard Bernstein, starring Cooper as Bernstein and Carey Mulligan as his long-suffering wife, Felicia.	
203	Big Blanket Oversized Blanket Review: Comfortable Oversized Luxury	Never have a cold foot sticking out from under a blanket again. The Oversized Blanket can cover your whole family, and some friends.	
204	Ian McKellen to play Falstaff in Shakespeare adaptation Player Kings	The actor will portray Falstaff in a new play which blends Shakespeare's Henry IV, parts one and two	
205	Drag Me to Hell, now on Netflix, perfected the lost art of Looney Tunes horror	Looking for a great horror movie on Netflix? Watch Drag Me to Hell, an underrated Sam Raimi gem that is as funny as it is scary.	
206	Madame Web’s trailer has given us cinematic perfection with one line	Does Marvel’s Madame Web movie, starring Dakota Johnson, look awful? Who knows — but her line in the trailer about Ezekiel is the stuff great memes are made of.	
207	‘The Marvels’ Debuts Atop U.K., Ireland Box Office as ‘Tiger 3’ Roars	Disney’s “The Marvels” debuted atop the U.K. and Ireland box office with £3.4 million ($4.2 million), according to numbers released by Comscore. However, in keeping with its global bow, the opening was soft as the latest installment in the MCU scored just abo…	
208	Scott Pilgrim Takes Off review: Much, much weirder than a mere nostalgia trip	Starring Michael Cera, Mary Elizabeth Winstead, and the rest of the cast from the 2010 film, Netflix's Scott Pilgrim anime is very odd indeed	
209	Watch the National and Phoebe Bridgers’ New “Laugh Track” Video, Directed by Bob’s Burgers’ Bernard Derriman	A couple mulls the big questions in the visual for the title track of the National’s recent album	
210	‘The Marvels’ Will Become the First MCU Title to Fall Short of $100 Million Domestic	"In happier box-office news, ""The Hunger Games: Ballad of Songbirds and Snakes"" opened well while ""Saltburn"" and ""Fallen Leaves"" had strong limited debuts."	
211	May the weekend box office be ever in The Ballad Of Songbirds And Snakes’ favor	After a couple of slow weekends at the domestic box office, things have bounced back nicely thanks to four pretty big new releases that mostly did okay (and one movie with a limited rollout that did relatively good). The biggest of those big new releases is H…	
212	Twilight's Unbelievable Box Office Run Was A Painful Loss For Paramount Pictures	15 years ago, Twilight became a box office phenomenon, and yet multiple studios passed on the property, convinced there was no audience. How wrong they were.	
213	Today In Good News: The 2023 Box Office Has Already Surpassed The Entire Total For 2022	The domestic box office total for 2023 has already surpassed that for 2022. Unfortunately, however, 2024 may struggle to continue that upward trend.	
214	The Hunger Games: The Ballad Of Songbirds And Snakes Flutters Into $45 Million+ Box Office Opening	Snow lands on top at the box office this weekend, with The Hunger Games prequel The Ballad of Songbirds and Snakes debuting at No. 1.	
215	The Marvels Box Office Goes From Bad To Worse With Catastrophic Second Weekend Drop	The Marvels sets another unenviable box office record as it heads for the Marvel Cinematic Universe&amp;#39;s biggest ever second weekend drop.	
216	The first original Invincible videogame, starring Atom Eve, is out today	Robert Kirkman's Invincible is a comic book and lately, animated series about a young superhero finding in his feet in a world where superheroes routinely get decapitated, disembowelled, melted, squished or just plain old beaten to a pulp. Much like The Boys,…	
217	Michael B. Jordan to Direct ‘Creed 4,’ Producer Irwin Winkler Says	"Jordan made his directorial debut on this year's ""Creed 3,"" which turned into a runaway box office success."	
218	3 dramas on Prime Video you need to watch in November	The three dramas on Prime Video you need to watch in November include a DC Comics film, a Tom Cruise classic, and a 20th century pop culture phenomenon.	
219	Ukraine charges officials with treason: working for Russia to feed Giuliani fake Biden information to influence 2020 election	Ukraine's Bureau of Investigation have charged lawmaker Oleksandr Dubinsky and other officials with high treason, for working with Russia to spread disinformation about Ukraine's government, create division between the U.S. and Ukraine, and thwart Ukraine's p…	
220	Apple’s ‘Napoleon’ Sets Thanksgiving Global Box Office Battle Plan Via Sony With $46M WW Start – Preview	EXCLUSIVE: Getting a leg-up here on our Thanksgiving stretch preview, Apple Studios production of Ridley Scott’s Napoleon will invade the global box office via Sony this Wednesday, in what’s shaping up to be a $46M WW global start. Split up for the Wednesday-…	
221	New ‘Hunger Games’ Prequel Faces Franchise’s Worst Average Reviews—Ahead Of Expected $50 Million Opening	The film is also expected to have the franchise’s worst opening weekend at the box office by a large margin—but box office analysts still expect solid revenue.	
222	What's right and what's wrong with Marvel today?	It’s not much of a surprise that The Marvels didn’t fare so well at the domestic box office in its first weekend. Sure, it came in at No. 1 with $47 million, but that’s the lowest opening of any film in the Marvel Cinematic Universe. Factor in the $41.4 milli…	
223	Broadway Box Office Heads Into Holiday Season At Steady Clip With Weekly Take Of $29M	Broadway began its trek into the lucrative holiday season last week at a steady clip, with the 28 shows grossing a total of $29,163,440 for the week ending November 12. That’s up about 10% over the previous week, though down about the same percentage from las…	
224	Madame Web's First Trailer Shows Dakota Johnson As Paramedic Who Can See The Future	"Sony Pictures has released the first trailer for Madame Web, its upcoming Spider-Man spin-off movie starring Dakota Johnson. The Fifty Shades of Grey star plays Cassandra Webb in the origin story for the Marvel hero.The movie is described as a ""suspense-drive…"	
225	Contenders Film: Los Angeles Kicks Off Today Spotlighting 28 Awards-Season Movies	Deadline’s Contenders Film: Los Angeles kicks off Saturday morning at 8:30 a.m. PT spotlighting 28 movies, with panel discussions featuring cast and creatives from this awards season’s most talked-about films, including actors scheduled to return to post-stri…	
226	‘Our Son’ Sets Vertical Release; Billy Porter & Luke Evans Top Custody Battle Drama	EXCLUSIVE: After world premiering at the 2023 Tribeca Festival, the custody battle drama Our Son, starring Billy Porter (Pose), Luke Evans (Beauty and the Beast), and newcomer Christopher Woodley, has set release plans with Vertical. Directed by Bill Oliver, …	
227	‘Avengers: The Kang Dynasty’ Loses Director Destin Daniel Cretton	"He's still working on the series ""Wonder Man"" and the ""Shang-Chi"" sequel."	
228	5 Highest Grossing Indian Movies of 2023	In an amazing display of cinematic prowess, 2023 has proven to be a blockbuster for the Indian film industry. This year, Bollywood delivered diverse films that have captivated audiences and dominated the global box office. Here’s a look at the top 5 highest g…	
229	Apple Original Films & Sony’s ‘Napoleon’ To Gallop Into China	Apple Original Films and Sony Pictures’ Ridley Scott-directed action epic Napoleon has landed a theatrical release date in China of Dec. 1. The movie starring Oscar winner Joaquin Phoenix in the title role will begin its global raid on Wednesday; here in the …	
230	Tiger 3 Third Day Box Office Collection Worldwide: How Much Did Salman Khan’s Film Earn?	Salman Khan’s latest film, Tiger 3, has not only garnered positive reception from the audience but also smashed box office records in its third day box office collection. The action-packed thriller movie has made blockbuster earnings domestically as well as g…	
231	Tiger 3 Second Day Box Office Collection Worldwide: How much Did Salman Khan Movie Earn?	Salman Khan’s latest release, Tiger 3, opened with a blast at the box office. The film witnessed a remarkable surge in revenue on its second day of release, even though it was a Monday. According to industry tracker Sacnilk, the film raked in an impressive $6…	
232	MTV Documentary Films To Premiere 5 Shorts On Paramount+ Next Week, Each One “Sublime And Beautifully Directed”	EXCLUSIVE: MTV Documentary Films’ impressive slate of short films will debut on the Paramount+ streaming platform on Tuesday, a lineup that includes The ABCs of Book Banning, the directorial debut of documentary legend Sheila Nevins. Nevins executive produces…	
233	Official Trailer for Dog Movie 'Arthur the King' Starring Mark Wahlberg	"""Extra meatballs for you, my friend."" Give him all the meatballs! Lionsgate has revealed an official trailer for a dog movie called Arthur the King, set for release in March 2024. They slid in to take this release spot after the reshuffling of movie release d…"	
234	Nathan Hertz’s Debut Feature ‘Thinestra’ Tackles Body Image With Horror And Dark Humor	EXCLUSIVE: Filming is underway in Los Angeles at Stay Lucky Studios for horror-comedy Thinestra, starring twin sisters Melissa Macedo (Girlboss) and Michelle Macedo (Every Time I Die). Directed by Nathan Hertz in their feature directorial debut, and written b…	
235	Mogul Unlocked: This Is Jason Lee	There is more to Jason Lee than amazing celebrity interviews. He is a self-made millionaire, philanthropist, author, and businessman who epitomizes the American dream.	
236	7 video game movie and TV adaptations we can’t wait to watch	What's going to be the next great video game adaptation? We've got seven video games in mind that are already optioned for films and TV shows.	
237	‘Barbie’ Set For Gotham Awards’ Inaugural Global Icon & Creator Tribute	The likely pink-hued awards season continues. The Gotham Awards will honor 2023’s highest-grossing film, Greta Gerwig’s Barbie, with its inaugural Global Icon & Creator Tribute. The honor will be presented November 27 at the 33rd annual Gotham Awards ceremony…	
238	Tiger 3 Day 6 Advance Booking Collection: Salman Khan Movie Records 59% dip	Tiger 3, starring Salman Khan and Katrina Kaif, continues to make waves at the box office. The movie is defying expectations and leaving spectators on the edge of their seats. The film has seen a peculiar box office trajectory. Despite initial reservations, i…	
239	‘The Marvels’ Makes Box Office History, ‘The Hunger Games’ Eyes #1 Spot	"What cost ""The Marvels"" the box office crown for November, and will ""The Hunger Games: The Ballad of Songbirds and Snakes"" become the month's box office royalty?"	
240	How Stan Lee And Spider-Man Ruined Plans For A James Cameron X-Men Movie	Stan Lee once went to talk to James Cameron about a potential X-Men movie, and then the subject of Spider-Man came up.	
241	96 Reasons to Love (Di)vision's New G-Star Collab	The year is 1996: Celine Dion and Toni Braxton are playing on the radio, Space Jam is a box office hit, and the Nintendo 64 is on every kid's holiday wish list…	
242	India Box Office: Salman Khan Scores Highest-Opener With ‘Tiger 3’	Indian box office report: Hindi film 'Tiger 3' scores big at the ticket windows, becomes Bollywood star Salman Khan's highest-ever opening movie.	
243	Rep. Joaquin Castro asks Justice Dept. to review Warner Bros.' practice of permanently shelving movies for tax breaks	"In the past couple of years, Warner Bros. Discovery has withheld completed movies from release in order to get tax breaks. ""Batgirl"" and ""Scoob! Holiday Haunt"" were fully completed and intended to be released on the streamer Max, but permanently shelved so th…"	
244	Viva Pictures Takes North America On Chinese 3D Animation ‘Deep Sea’	EXCLUSIVE: Indie animation distributor Viva Pictures has acquired North American rights to Deep Sea, a 3D animated feature that world premiered out of Berlin earlier this year. Written and directed by Tian Xiaopeng (Monkey King: Hero Is Back), the $80M Mandar…	
245	Peacock Acquires U.S. Rights To Brit Cringe Comedy Series ‘Hapless’ Starring Tim Downie	EXCLUSIVE: Peacock has acquired U.S. rights to season one and two of Brit sitcom Hapless. The series, which heralds from veteran Brit director Gary Sinyor, revolves around an obsessive and gaffe-prone journalist for a fictional Jewish newspaper. Tim Downie (O…	
246	gglum – “Easy Fun”	Last month, London’s Ella Smoker, aka gglum, shared the song “SPLAT!” Today, she’s back with the ominous, mischievous track “Easy Fun” with a video directed by Finnegan Travers.	
247	#471 November 14, 2023		
248	‘Saltburn’ In Year’s Top Limited Openings, ‘The Holdovers’ Aces Expansion, ‘Stop Making Sense’ Blows Past Original 1984 Run – Specialty Box Office	In a super weekend for specialty, Saltburn had a lofty open on seven screens and The Holdovers a nice $2.7 million in a major week-three expansion that put it at no. 6 at the domestic box office. Actors are once again out promoting their films and indie/origi…	
249	Michael Imperioli Joins Jeremy Strong In Broadway’s ‘An Enemy Of The People’; Brad Pitt’s Plan B Signs On As Producer	The upcoming Broadway revival of Ibsen’s An Enemy of the People starring Jeremy Strong has landed two more heavy hitters: Michael Imperioli will costar opposite Strong, and Plan B, the production company of Brad Pitt, Dede Gardner & Jeremy Kleiner, has signed…	
250	‘The People Under The Stairs’ Reboot Being Penned By Ezra Claytan Daniels For Monkeypaw & Universal	EXCLUSIVE: Doom Patrol and Night Sky scribe Ezra Claytan Daniels has signed on to write the screenplay for The People Under the Stairs, a reboot of the 1991 Wes Craven horror movie, for Monkeypaw Productions through their deal at Univeral. Monkeypaw Productio…	
251	Jack Antonoff Producing The New Look TV Soundtrack Featuring Lana Del Rey, Matty Healy, Nick Cave, More	Perfume Genius, Florence Welch, Bleachers, and Beabadoobee will perform covers for the Apple TV+ series starring Juliette Binoche and Ben Mendelsohn	
252	Donald Glover Didn’t Get ‘Mr. and Mrs. Smith’ Movie’s Appeal Ahead of Series: It’s Just ‘Gorgeous People’	Glover is reimagining the steamy 2005 spy movie starring Brad Pitt and Angelina Jolie for a Prime Video series co-starring Maya Erskine.	
253	‘Sound Of Freedom’ Studio Angel Studios Acquires True-Life WWII Thriller ‘Bonhoeffer’	EXCLUSIVE: Angel Studios, the studio behind surprise global blockbuster Sound of Freedom, has acquired worldwide rights to Bonhoeffer (fka God’s Spy), a true-life thriller written and directed by Sully scribe Todd Komarnicki. Spotlighting the courage and sacr…	
254	‘The Curse’ Episode 2: A Pregnancy Scare and a Heist to Remember	Second episode of Showtime/Paramount+ series starring Nathan Fielder and Emma Stone brought the discomfort by way of a pregnancy and clumsy break-in.	
255	The ‘Madame Web’ Trailer Foretells a Superhero-Franchise Future for Dakota Johnson and Sydney Sweeney	Arachnophiles rejoice: Sony's Spider-Man extended universe is about to get a little bit more extensive.	
256	‘The Hunger Games: The Ballad Of Songbirds & Snakes’ Begins With Thursday Previews Around $6M – Box Office	EXCLUSIVE: Lionsgate’s prequel The Hunger Games: The Ballad of Songbirds & Snakes is looking at a Thursday night between $5.75M-$6M after showtimes that began at 3PM. Again, these numbers aren’t from the studio and we could see a slightly different result by …	
257	Pūteketeke named New Zealand's Bird of the Century in landslide	"The campaign launched by John Oliver, host of the HBO show ""Last Week Tonight,"" for the Pūteketeke to win New Zealand's Bird of the Century contest resulted in a massive landslide for the colorful water bird.



The online voting event is held by New Zealand'…"	
258	Martin Scorsese Hilariously Admits He’s ‘Tricked Into’ Making TikToks With Daughter Francesca	“I didn’t know those things go viral,” the iconic filmmaker said.	
259	Walton Goggins, Zadie Smith, and Lauryn Hill	Entertainment musts from Conor Friedersdorf	
260	A 2012 Ewan McGregor Drama Is Making A Steady Climb Up Netflix's Top Charts	The Impossible, starring  Naomi Watts, Ewan McGregor, and Tom Holland, is climbing the charts on Netflix.	
261	New OTT Releases This Week: Vijay’s Leo, Apurva, & More	In a thrilling week for entertainment enthusiasts, a mix of highly anticipated OTT releases is set to grace the screens. The OTT giants are offering shows of a variety of genres for viewers. Leading the pack is Tara Sutaria’s survival film, Apurva, promising …	
262	The Marvel Cinematic Universe Is Broken, And Marvel Can Only Blame Itself	The hits never stop coming for Marvel during its so-called Multiverse Saga. The Marvel Cinematic Universe juggernaut has spent nearly the entire post-Avengers: Endgame period mired in one mess or another, constantly shuffling around its release schedule and, …	
263	Premiere Entertainment Begins Production In El Salvador On Body Swap Comedy ‘The Ballad Of Hortensia’	EXCLUSIVE: Cameras have rolled on The Ballad Of Hortensia, a body swap comedy from Premiere Entertainment set in El Salvador, starring Francisco Gattorno (Julian Schnabel’s Before Night Falls) and Helena Haro (Black Warrant).  Arturo Menendez (Malacrianza) is…	
264	The dream economic scenario might be back on the table, as inflation cools and growth surges	Stocks surged after Tuesday's CPI report, with traders hopeful the Federal Reserve will be able to tame inflation without crushing growth.	
265	‘The Fall Guy’ Moves To May 2024 In Previous Slot Held By ‘Deadpool 3’	Universal Pictures is pushing back the release of The Fall Guy starring Ryan Gosling and Emily Blunt. The action comedy film was originally set to premiere on March 1, 2024, and will now drop on Friday, May 3, 2024. The move will put the movie in Deadpool 3’s…	
266	Video Game Award Categories Are Broken	Tamoor is joined by Jeff Grubb to talk about how video game awards approach categorization and why it may need rethinking.	
267	John Cleese Reveals “We Killed A Man” With Comedy Film ‘A Fish Called Wanda’	John Cleese, the comedy veteran star of Monty Python and Fawlty Towers, has made a surprising admission – that he once killed a man. Cleese wrote and appeared in the comedy hit film A Fish Called Wanda – also starring Kevin Kline and Jamie Lee Curtis – and he…	
268	British writer A.S. Byatt, author of the novel 'Possession,' dies at 87	Author A	
269	Humane's launch video showed its hyped AI Pin answering 2 questions incorrectly. The company says a corrected video is on the way.	"A Humane representative said that a ""bug"" contributed to the AI Pin giving incorrect information and the AI is constantly being improved."	
270	In Talking About ‘Frozen 3,’ Bob Iger Lets Slip There’s a ‘Frozen 4’ Happening, Too	"Iger called the films ""one of our most valuable franchises"" and confirmed creator Jenn Lee is working on two new installments."	
271	Jack Kilmer, Paris Jackson & Eric Roberts Set For Indie Horror Thriller ‘Open Wounds’	EXCLUSIVE: Jack Kilmer (Palo Alto), Paris Jackson (Gringo), and Eric Roberts (The Dark Knight) are in production in Atlanta on Open Wounds, an indie horror thriller from director Ronald Krauss (Gimme Shelter). Rounding out the cast of the pic are Lambert Hous…	
272	‘The New Look’: Christian Dior-Coco Chanel Drama Series Gets Premiere Date On Apple TV+; First Photos	Apple TV+ has released some of the first images from The New Look, a World War II-set drama about fashion icons Christian Dior and Coco Chanel starring Emmy winner Ben Mendelsohn and Oscar winner Juliette Binoche. The anticipated series from Todd A. Kessler w…	
273	The Marvels: Reasons Why It Bombed at the Box Office	The Marvels is now available to watch in movie theaters worldwide, but it looks like moviegoers aren’t as keen for the movie as Disney/Marvel Studios had hoped. Here are the potential reasons why The Marvels bombed at the box office during its opening weekend…	
274	‘K-Pops!’: Cathy Shim Boards Anderson .Paak Film	EXCLUSIVE: Korean American comedian, writer and producer Cathy Shim is the latest to join the cast of the film K-Pops! from first-time director and eight-time Grammy winner Anderson .Paak (who also stars). She will play Diamond, the energetic iconic host of a…	
275	Tiger 3 box office collection Day 6 early reports: Salman Khan actioner set to cross Rs 200 crore mark in India	Tiger 3 box office collection Day 6 early estimates: Helmed by Maneesh Sharma, the Salman Khan and Katrina Kaif film in nearing the Rs 200 crore mark in India.	
276	Rami Malek’s 20th Century Thriller ‘Amateur’ Among First Studio Shoots To Get Rolling In UK After Strikes	EXCLUSIVE: After a grueling few months for UK film and TV producers, there are signs that the industry is starting to head back to work following twin actors and writers strikes in the U.S. Amateur, the 20th Century terrorism thriller starring Rami Malek, wil…	
277	‘Moon Knight’ Helmer Mohamed Diab Takes ‘Leap’ On Sci-Fi Thriller With The Picture Company & Studiocanal	EXCLUSIVE: Mohamed Diab is set to direct Leap, a high concept action thriller script by Source Code writer Ben Ripley and produced by The Picture Company. This follows Studiocanal’s recent acquisition of a minority stake in The Picture Company under an expand…	
278	‘Kokomo City’ Leads 2024 Cinema Eye Honors Nominations: See Full List	"""20 Days in Mariupol,"" ""32 Sounds,"" and ""The Eternal Memory"" are also among the top nominees for the 17th annual awards ceremony."	
279	Khichdi 2 movie review: Supriya Pathak and gang return after 13 years; the question is why?	Khichdi 2 movie review: Why did this ultra-loud, blindingly colour-coordinated bunch who did nothing of any consequence in the first movie, bother to circle back for a sequel?	
280	Trolls Band Together movie review: Justin Timberlake-fronted family homily will deafen you with sound, blind you with colour	Trolls Band Together movie review: Justin Timberlake's former band 'NSYNC comes together to belt their first number in 20 years. It's the third Trolls film in seven years. Hard to say what has aged worse.	
281	Is There a 'Thanksgiving' (2023) Movie End Credits Scene? Details Revealed!	The new horror movie Thanksgiving is now in theaters and it has been getting rave reviews, with a Rotten Tomatoes score of 87% at the time this post was published. If the movie does well at the box office, it’ll likely become a new horror franchise from direc…	
282	Neve Campbell Gives Her Scream 6 Reaction: ‘I Don’t Wish These Movies Ill Will’	"After declining to be in the movie because of a pay dispute, Neve Campbell gives her reaction to 2023's Scream VI.
The post Neve Campbell Gives Her Scream 6 Reaction: ‘I Don’t Wish These Movies Ill Will’ appeared first on ComingSoon.net - Movie Trailers, TV &…"	
283	Don’t Expect Taylor Swift’s Concert Film To Hit Streamers This Year	Taylor Swift's blockbuster 'Taylor Swift: The Eras Tour,' is still performing well at the box office, and it won't be available to stream until at least January.	
284	Sam Altman Departs OpenAI After Board Loses Confidence in Him	Mira Murati, OpenAI’s chief technology officer, will serve as interim CEO.	
285	The 20 Biggest Comedy Turkeys	Critics didn’t like them. Audiences stayed away in droves. In honor of Thanksgiving, let’s salute some truly fowl film comedies that were infamous duds	
286	Official Trailer for 'Total Trust' Doc About Surveillance Tech in China	"""There are special residents we can keep an eye on."" Film Movement has unveiled an official US trailer for a documentary film from China called Total Trust, a fascinating and scary inside look at China's surveillance programs. It's set for a US release this D…"	
287	11 Surprising Movies That Were Massive Successes At The Box Office	Sometimes unexpected films will succeed at the box office. The films are often widely celebrated today, but their success wasn't easily predicted.	
288	The Exorcist: Believer Peacock Release Date Announced for Blumhouse Sequel	After over a month since making its theatrical debut, the Peacock release date for Blumhouse’s supernatural sequel The Exorcist: Believer has finally been revealed. The film will be available for streaming starting on December 1 on Peacock. During its theatri…	
289	Friko – “Crashing Through”	Friko are part of Chicago’s young Hallogallo scene along with Horsegirl and Lifeguard. They have been releasing songs since 2019 and were in Horsegirl’s “Dirtbag Transformation (Still Dirty)” video last year. Today, they’re announcing their debut album Where …	
290	Beyoncé's Concert Film Is Heading For An Impressive Box Office Debut	Beyonce's much-anticipated concert film, Renaissance: A Film by Beyonce, may earn one of the biggest opening weekends in December in history.	
